study,variable,type,mean_I,sd_I,mean_C,sd_C,prop_I,prop_C,is_endpoint
4S (1994),Age,continuous,58.6,7.7,58.5,7.9,,,0
4S (1994),Male,binary,,,,,0.81,0.82,0
4S (1994),Total_Cholesterol,continuous,261.0,30.0,260.0,30.0,,,0
4S (1994),LDL_Cholesterol,continuous,188.0,26.0,189.0,26.0,,,0
4S (1994),HDL_Cholesterol,continuous,46.0,12.0,46.0,12.0,,,0
4S (1994),Triglycerides,continuous,132.0,60.0,131.0,58.0,,,0
4S (1994),Smoking,binary,,,,,0.26,0.25,0
4S (1994),Hypertension,binary,,,,,0.26,0.26,0
4S (1994),Diabetes,binary,,,,,0.05,0.04,0
4S (1994),Mortality,binary,,,,,0.082,0.119,1
WOSCOPS (1995),Age,continuous,55.3,5.5,55.1,5.5,,,0
WOSCOPS (1995),Male,binary,,,,,1.0,1.0,0
WOSCOPS (1995),Total_Cholesterol,continuous,272.0,23.0,272.0,23.0,,,0
WOSCOPS (1995),LDL_Cholesterol,continuous,192.0,17.0,192.0,17.0,,,0
WOSCOPS (1995),HDL_Cholesterol,continuous,44.0,11.0,44.0,11.0,,,0
WOSCOPS (1995),Triglycerides,continuous,164.0,68.0,162.0,66.0,,,0
WOSCOPS (1995),Smoking,binary,,,,,0.44,0.44,0
WOSCOPS (1995),Hypertension,binary,,,,,0.16,0.15,0
WOSCOPS (1995),Diabetes,binary,,,,,0.01,0.01,0
WOSCOPS (1995),Mortality,binary,,,,,0.032,0.041,1
CARE (1996),Age,continuous,59.0,9.0,59.0,9.0,,,0
CARE (1996),Male,binary,,,,,0.86,0.86,0
CARE (1996),Total_Cholesterol,continuous,209.0,17.0,209.0,17.0,,,0
CARE (1996),LDL_Cholesterol,continuous,139.0,15.0,139.0,15.0,,,0
CARE (1996),HDL_Cholesterol,continuous,39.0,9.0,39.0,9.0,,,0
CARE (1996),Triglycerides,continuous,155.0,55.0,156.0,57.0,,,0
CARE (1996),Smoking,binary,,,,,0.21,0.21,0
CARE (1996),Hypertension,binary,,,,,0.43,0.42,0
CARE (1996),Diabetes,binary,,,,,0.14,0.15,0
CARE (1996),BMI,continuous,28.0,4.3,28.0,4.2,,,0
CARE (1996),Mortality,binary,,,,,0.085,0.094,1
LIPID (1998),Age,continuous,62.0,8.3,62.0,8.2,,,0
LIPID (1998),Male,binary,,,,,0.83,0.83,0
LIPID (1998),Total_Cholesterol,continuous,218.0,20.0,218.0,20.0,,,0
LIPID (1998),LDL_Cholesterol,continuous,150.0,16.0,150.0,16.0,,,0
LIPID (1998),HDL_Cholesterol,continuous,36.0,9.0,36.0,9.0,,,0
LIPID (1998),Triglycerides,continuous,139.0,56.0,142.0,59.0,,,0
LIPID (1998),Smoking,binary,,,,,0.1,0.09,0
LIPID (1998),Hypertension,binary,,,,,0.42,0.41,0
LIPID (1998),Diabetes,binary,,,,,0.09,0.09,0
LIPID (1998),Mortality,binary,,,,,0.11,0.142,1
AFCAPS/TexCAPS (1998),Age,continuous,58.0,7.0,58.0,7.0,,,0
AFCAPS/TexCAPS (1998),Male,binary,,,,,0.85,0.85,0
AFCAPS/TexCAPS (1998),Total_Cholesterol,continuous,221.0,21.0,221.0,21.0,,,0
AFCAPS/TexCAPS (1998),LDL_Cholesterol,continuous,150.0,17.0,150.0,17.0,,,0
AFCAPS/TexCAPS (1998),HDL_Cholesterol,continuous,36.0,6.0,36.0,5.0,,,0
AFCAPS/TexCAPS (1998),Triglycerides,continuous,158.0,70.0,156.0,68.0,,,0
AFCAPS/TexCAPS (1998),Smoking,binary,,,,,0.12,0.13,0
AFCAPS/TexCAPS (1998),Hypertension,binary,,,,,0.22,0.22,0
AFCAPS/TexCAPS (1998),Diabetes,binary,,,,,0.0,0.0,0
AFCAPS/TexCAPS (1998),Mortality,binary,,,,,0.025,0.028,1
